Coumarin 153 Modèle Maroncelli



# charge       sigma  epsilon    x      y      z
1 0.230         3.50   0.335    0.00   0.0      0.000001   6 ! C
2 -0.034        3.50   0.335    1.49   0.0      0.0        6 ! C
3 -0.285        3.50   0.335    2.13   1.216    0.0        6 ! C
4 -0.207        3.50   0.335    1.483  2.479    -0.004     6 ! C
5 0.437         3.50   0.335    0.048  2.45     -0.037     6 ! C
6 -0.298        3.50   0.335    -0.709 1.239   -0.056      6 ! C
7 -0.073        3.50   0.355    2.155  3.787   0.019       6 ! C
-0.478        3.50   0.355    1.393  4.918  -0.001       6 ! C
1.067         3.50   0.355   -0.088  4.849   -0.040      6 ! C
-0.548        2.96   0.879  -0.673   3.604   -0.048      8 ! O
-0.280        3.25   0.711   -0.696 -1.217   0.013       7 ! N
-0.010        3.50   0.335   2.235  -1.285  0.011        6 ! C
0.233         2.50   0.21    3.221  1.166   0.005        1 ! H
1.357         3.50   0.335   3.725  3.911   0.067        6 ! C 
0.237         2.50   0.21    1.799  5.932   0.010        1 ! H
-0.620        2.96   0.879   -0.879 5.783   -0.064       8 ! O
0.089         3.50   0.355   -2.22  1.279   -0.125       6 ! C
-0.424        2.80   0.439   4.261  3.318  1.164         9 ! F
-0.431        2.80   0.439   4.177  5.192  0.102         9 ! F
-0.426        2.80   0.439   4.325  3.353  -1.016        9 ! F
-0.063        3.50   0.335   0.001  -2.496  0.229        6 ! C
0.019         3.50   0.335   -2.153 -1.251  0.228        6 ! C
-0.121        3.50   0.335   1.411  -2.515  -0.382       6 ! C
0.006         3.50   0.355   -2.864 -0.073  -0.454       6 ! C
0.053         2.50    0.21    2.670   -1.434  1.028      1 ! H
0.041         2.50    0.21    3.103  -1.206   -0.685     1 ! H
0.021         2.50    0.21    -2.558  2.007   -0.898     1 ! H
0.028         2.50    0.21    -2.619  1.648   0.850      1 ! H
0.095         2.50    0.21    -0.598  -3.320  -0.232     1 ! H
0.089         2.50    0.21    0.056   -2.722  1.326      1 ! H
0.064         2.50    0.21    -2.379  -1.257  1.326      1 ! H
0.056         2.50    0.21    -2.564  -2.206  -0.182     1 ! H
0.070         2.50    0.21    1.932   -3.439  -0.043     1 ! H
0.070         2.50    0.21    1.344   -2.591  -1.491     1 ! H
0.011         2.50    0.21    -3.93  -0.067   -0.131     1 ! H
0.026         2.50    0.21    -2.881 -0.228   -1.557     1 ! H



